Facility Name,Address,City,Zipcode,Latitude,Longitude,Facility Group,Facility Subgroup,Facility Type
Family Resource Center,858 East   29 Street,Brooklyn,11210,40.629972,-73.948786,Health Care,Mental Health,Support Mental Health
Supported Housing Rental Assistance,219 Henry Street,New York,10002,40.713864,-73.986559,Health Care,Mental Health,Support Mental Health
Assisted Competitive Employment,2090 7 Avenue,New York,10027,40.808753,-73.948928,Health Care,Mental Health,Support Mental Health
Oneg Shabbos,1601 41 Street,Brooklyn,11218,40.635558,-73.980572,Human Services,Soup Kitchens and Food Pantries,Food Pantry
I.S. 75 Frank D. Paulo,455 Huguenot Avenue,Staten Is,10312,40.544347,-74.197203,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Jbcfs - C&Y Bcm,1765 South Avenue,Staten Is,10314,40.600741,-74.192365,Health Care,Mental Health,Support Mental Health
Bridger Transitional - NonMedicaid CC,681 Clarkson Avenue,Brooklyn,11203,40.656608,-73.936237,Health Care,Mental Health,Support Mental Health
Dorothy Mcgowan Houses,569 West  159 Street,New York,10032,40.835086,-73.943063,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Roosevelt Island Seniors Association Inc,546 Main Street,New York,10044,40.761841,-73.949559,Human Services,Senior Services,Neighborhood Senior Centers
St. John's Episcopal Hospital South Shore Division IP Unit,327 Beach   19 Street,Far Rockaway,11691,40.598573,-73.753467,Health Care,Mental Health,Inpatient Mental Health
Mosaic Beacon Community Center Food Pantry,1257 Ogden Avenue,Bronx,10452,40.839769,-73.925909,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Renaissance Youth Center,3485 3 Avenue,Bronx,10456,40.830661,-73.906372,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Northside Therapeutic Early Childhood Center,35 East  110 Street,New York,10029,40.796664,-73.947842,Health Care,Mental Health,Outpatient Mental Health
Manhattan Christian Academy,401 West  205 Street,New York,10034,40.862704,-73.91815,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Act of Faith Ministries,141 Manhattan Avenue,Brooklyn,11206,40.707627,-73.945244,Human Services,Soup Kitchens and Food Pantries,Food Pantry
PS 229,1400 Benson Avenue,Brooklyn,11228,40.610352,-74.0135,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
The Bridge ACT Program,1795 Lexington Avenue,New York,10029,40.795694,-73.943488,Health Care,Mental Health,Outpatient Mental Health
Flagstone Family Center,199 Amboy Street,Brooklyn,11212,40.665604,-73.913338,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Washington Heights Expeditionary Learning School,511 West  182 Street,New York,10033,40.849255,-73.930915,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Brooklyn Families Together,858 East   29 Street,Brooklyn,11210,40.629972,-73.948786,Health Care,Mental Health,Support Mental Health
Jewish Institute of Queens,60-05 Woodhaven Boulevard,Elmhurst,11373,40.731214,-73.870957,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Coney Island Hospital ACT I,2601 Ocean Parkway,Brooklyn,11235,40.58608,-73.965599,Health Care,Mental Health,Outpatient Mental Health
Fast Break 115,158 East  115 Street,New York,10029,40.797612,-73.941895,Health Care,Mental Health,Outpatient Mental Health
Icahn 3,1500 Pelham Parkway South,Bronx,10461,40.856708,-73.843028,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
West Brighton Residential Tenants Assoc.,240 Broadway,Staten Is,10310,40.635849,-74.117889,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Renfrew Center Partial Hospitalization Program,38 East   32 Street,New York,10016,40.74592,-73.983155,Health Care,Mental Health,Outpatient Mental Health
Bronx Green Middle School,2441 Wallace Avenue,Bronx,10467,40.862349,-73.864853,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Upper School @ P.S. 25,787 Lafayette Avenue,Brooklyn,11221,40.69147,-73.940709,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Ms 390,1930 Andrews Avenue,Bronx,10453,40.85426,-73.913024,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Momentum Project Inc. @ COGOP,226 East 144th Street,Bronx,10452,40.837184,-73.921578,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Ms 254,2452 Washington Avenue,Bronx,10458,40.858853,-73.889879,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
PS 192 Jacob H. Schiff,500 West  138 Street,New York,10031,40.820993,-73.953069,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Upper Manhattan - HH CM,215 West  135 Street,New York,10030,40.815961,-73.94462,Health Care,Mental Health,Support Mental Health
Evangelical Church Christ is the Light,89-16 48 Avenue,Elmhurst,11373,40.741067,-73.874859,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Hamilton Madison House Inc,100 Gold Street,New York,10038,40.710148,-74.003238,Human Services,Senior Services,Neighborhood Senior Centers
C.E.S/C.I.S. 218 Rafael Hernandez Dual Language Magnet School,1220 Gerard Avenue,Bronx,10452,40.835621,-73.91971,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
VillageCare AIDS ADHCP,80 Coffey Street,Brooklyn,11231,40.675605,-74.012928,Health Care,Other Health Care,Adult Day Health Care Program - Offsite
Bridger III - NonMedicaid CC,777 Seaview Avenue,Staten Is,10305,40.583461,-74.082576,Health Care,Mental Health,Support Mental Health
Corona Health Center,34-35 Junction Boulevard,Jackson Heights,11372,40.754211,-73.871968,Health Care,Hospitals and Clinics,Ambulatory Health Facility
Youth Achieving Independence,6581 Hylan Boulevard,Staten Is,10309,40.51219,-74.222434,Health Care,Mental Health,Support Mental Health
"Forestdale, Inc.",67-35 112 Street,Forest Hills,11375,40.729511,-73.842295,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Mercy Center,377 East  145 Street,Bronx,10455,40.813967,-73.920148,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
M.S. 596 Peace Academy,300 Willoughby Avenue,Brooklyn,11205,40.692048,-73.95844,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Southside United HDFC Inc./Los Sures Social Servic,145 South    3 Street,Brooklyn,11211,40.712409,-73.961611,Human Services,Soup Kitchens and Food Pantries,Food Pantry
PS 317 Waterside Children's Studio School,190 Beach  110 Street,Rockaway Park,11694,40.580949,-73.83137,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Maimonides CMHC Adult Services,920 48 Street,Brooklyn,11219,40.640311,-73.999738,Health Care,Mental Health,Outpatient Mental Health
Northeast Bronx Senior Citizen Center Inc,2968 Bruckner Boulevard,Bronx,10465,40.833519,-73.826221,Human Services,Senior Services,Neighborhood Senior Centers
Bronx Alliance Middle School,3750 Baychester Avenue,Bronx,10466,40.886165,-73.84043,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Suydam School,100 Irving Avenue,Brooklyn,11237,40.704104,-73.922504,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Throgs Neck Bridge,Totten Street,,0,40.793107,-73.794693,Transportation,Other Transportation,Transportation Facility
Queens United Middle School,229-02 137 Avenue,Springfield Gardens,11413,40.672562,-73.743138,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Bridge Clinic Treatment Program,248 West  108 Street,New York,10025,40.802429,-73.966992,Health Care,Mental Health,Outpatient Mental Health
Gethsemane Soul Saving Outreach,145-41 228 Street,Springfield Gardens,11413,40.660893,-73.751904,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Former Coast Guard Base,5 Bay Street,Staten Island,10301,40.641297,-74.074332,Transportation,Other Transportation,Transportation Facility
Harlem Hospital Center CPEP,506 Lenox Avenue,New York,10037,40.814112,-73.939744,Health Care,Mental Health,Emergency Mental Health
Annadale Sta.Parking,South Railroad St,Staten Island,10312,40.540003,-74.179179,Transportation,Other Transportation,Transportation Facility
"Hanac, Inc.",13-28 123 Street,College Point,11356,40.78579,-73.845024,Human Services,Senior Services,Neighborhood Senior Centers
Door of Salvation Ministries,460 East  134 Street,Bronx,10454,40.805554,-73.922837,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Emergency Service,3424 Kossuth Avenue,Bronx,10467,40.88046,-73.881093,Health Care,Mental Health,Emergency Mental Health
Fillmore Academy,4011 Fillmore Avenue,Brooklyn,11234,40.613769,-73.930285,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
"Samaritan Daytop Village, Inc",50-37 Newtown Road,Woodside,11377,40.753986,-73.910732,Human Services,Senior Services,Neighborhood Senior Centers
Preparatory Academy For Writers,143-10 Springfield Boulevard,Springfield Gardens,11413,40.668078,-73.757867,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Gouverneur Snf/Diag Trmnt Ctr,227 Madison Street,New York,10002,40.713174,-73.987866,Health Care,Hospitals and Clinics,Ambulatory Health Facility
Glover Memorial,2134 Dean Street,Brooklyn,11233,40.674909,-73.91703,Human Services,Soup Kitchens and Food Pantries,Food Pantry
New York-Presbyterian Brooklyn Methodist Hospital PSychiatri,506 6 Street,Brooklyn,11215,40.667812,-73.979107,Health Care,Mental Health,Inpatient Mental Health
The Better Living Center,29-76 Northern Boulevard,Long Island City,11101,40.750368,-73.934604,Health Care,Mental Health,Outpatient Mental Health
Middle School For Social And Academic Excellence,1224 Park Place,Brooklyn,11213,40.672232,-73.937218,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Mamre SDA Church,1623 Utica Avenue,Brooklyn,11234,40.63264,-73.927978,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Wayside Out-Reach Development Inc,550 Greene Avenue,Brooklyn,11216,40.688373,-73.948568,Human Services,Senior Services,Neighborhood Senior Centers
I.S. 339,1600 Webster Avenue,Bronx,10457,40.8406,-73.90418,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
SBH Health System Behavioral Health Adult Outpatient Clinic,2021 Grand Concourse,Bronx,10453,40.85199,-73.904579,Health Care,Mental Health,Outpatient Mental Health
School Of The Future,127 East   22 Street,New York,10010,40.739115,-73.985314,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
VNS Children and Adolescent MH Clinic at FRIENDS,489 East  153 Street,Bronx,10455,40.818416,-73.913747,Health Care,Mental Health,Outpatient Mental Health
P.S 306 Ethan Allen,970 Vermont Street,Brooklyn,11207,40.655227,-73.886484,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
The Center for Intensive Treatment of Personality Disorders,1000 10 Avenue,New York,10019,40.769664,-73.986799,Health Care,Mental Health,Outpatient Mental Health
"Iglesia Cristiana Luz Del Mundo, Inc.",4616 4 Avenue,Brooklyn,11220,40.648491,-74.010996,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Make The Road New York,92-10 Roosevelt Avenue,Jackson Heights,11372,40.74842,-73.874022,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Henry Street Settlement PROS Express,40 Montgomery Street,New York,10002,40.712649,-73.985664,Health Care,Mental Health,Outpatient Mental Health
Pentecostal Church Christ Eternal Refuge,9 East  199 Street,Bronx,10468,40.872322,-73.889478,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Regional Aid For Interim Needs Inc,2424 Boston Road,Bronx,10467,40.861731,-73.86623,Human Services,Senior Services,Neighborhood Senior Centers
Corpus Christi School,535 West  121 Street,New York,10027,40.811098,-73.960755,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Peer Advocacy - Bronx MHC,4123 3 Avenue,Bronx,10457,40.844795,-73.897465,Health Care,Mental Health,Support Mental Health
Bronx Bethany Community Corporation,964 East  227 Street,Bronx,10466,40.886479,-73.851822,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Hyde Leadership Charter School,730 Bryant Avenue,Bronx,10474,40.815869,-73.885308,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Los Redimidos Por La Sangre De Jesus,609 East  182 Street,Bronx,10457,40.852145,-73.889498,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Ascension Outreach Inc.,12 West   11 Street,New York,10011,40.734109,-73.995773,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Washington Heights Community Service Inc,650 West  187 Street,New York,10033,40.853504,-73.932823,Human Services,Senior Services,Neighborhood Senior Centers
CCNS-BFFY @ Our Lady of Solace,2866 West   17 Street,Brooklyn,11224,40.577229,-73.985107,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Project Clean,209-01 Jamaica Avenue,Queens Village,11428,40.714931,-73.751211,Health Care,Mental Health,Support Mental Health
Walk In Love Family Center,202-11 Jamaica Avenue,Queens Village,11429,40.71127,-73.741608,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Renaissance School Of The Arts,319 East  117 Street,New York,10035,40.797507,-73.936142,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
John Adams High School,101-01 Rockaway Boulevard,Ozone Park,11417,40.678683,-73.836918,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Edith And Carl Marks Jewish Community House Of Ben,7802 Bay Parkway,Brooklyn,11214,40.606368,-73.989751,Human Services,Senior Services,Neighborhood Senior Centers
Queens Mid-Childhood Clinic,74-03 Commonwealth Boulevard,Bellerose,11426,40.745687,-73.725705,Health Care,Mental Health,Outpatient Mental Health
NYPCC Queens Village Continuing Day Treatment,220-05 Jamaica Avenue,Queens Village,11428,40.719302,-73.734264,Health Care,Mental Health,Outpatient Mental Health
Transportation,2601 Ocean Parkway,Brooklyn,11235,40.58608,-73.965599,Health Care,Mental Health,Support Mental Health
Flatbush SDA Church,261 East   21 Street,Brooklyn,11226,40.648076,-73.959086,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Jewish Association For Services For The Aged,161 Corbin Place,Brooklyn,11235,40.577682,-73.953815,Human Services,Senior Services,Neighborhood Senior Centers
University Settlement - C&Y BCM,189 Allen Street,New York,10002,40.722211,-73.989534,Health Care,Mental Health,Support Mental Health
Queens Adult Home Health Home - Medicaid,105-01 101 Avenue,Ozone Park,11416,40.686804,-73.838001,Health Care,Mental Health,Support Mental Health
Geriatric Mental Health Act,234 East  149 Street,Bronx,10451,40.817061,-73.924502,Health Care,Mental Health,Support Mental Health
"Prime Home Health Services, LLC",3125 Emmons Avenue,Brooklyn,11235,40.584342,-73.934567,Health Care,Other Health Care,Certified Home Health Agency
Chinese-American Planning Council Inc,168 Grand Street,New York,10013,40.720104,-73.99794,Human Services,Senior Services,Neighborhood Senior Centers
Shakespeare School,1449 Shakespeare Avenue,Bronx,10452,40.843506,-73.920656,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Columbia Presbyterian Center CPEP,622 West  168 Street,New York,10032,40.841003,-73.941602,Health Care,Mental Health,Emergency Mental Health
Ms 74,61-15 Oceania Street,Oakland Gardens,11364,40.745078,-73.766829,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Antonia Pantoja Preparatory Academy,1980 Lafayette Avenue,Bronx,10473,40.821438,-73.855897,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Re-Entry Project,40 Rector Street 9th Floor,New York,10006,40.708368,-74.01476,Health Care,Mental Health,Support Mental Health
Conway St Storage & Prkng Fac,36 Conway Street,Brooklyn,11207,40.679252,-73.903658,Transportation,Other Transportation,Transportation Facility
Ms 200,70-10 164 Street,Fresh Meadows,11365,40.731169,-73.805531,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Senior Citizens League Of Flatbush Inc,1625 Ocean Avenue,Brooklyn,11210,40.622327,-73.955357,Human Services,Senior Services,Neighborhood Senior Centers
Crossover Baptist Church Comm. Outreach Help Cntr.,358 Kosciuszko Street,Brooklyn,11221,40.691795,-73.940067,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Bronx Peer Advocacy,369 E. 148 Street Lower Level,Bronx,10455,40.815751,-73.919427,Health Care,Mental Health,Support Mental Health
Department of Probation Brooklyn Office,345 Adams Street,Brooklyn,11201,40.692727,-73.988427,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Brightpoint Health Bedford Avenue Clinic,1669 Bedford Avenue,Brooklyn,11225,40.665842,-73.956469,Health Care,Mental Health,Outpatient Mental Health
Westchester Center of Excellence,915 Westchester Avenue,Bronx,10459,40.821681,-73.89839,Health Care,Mental Health,Outpatient Mental Health
Audubon Adult Day Treatment Program,513 West  166 Street,New York,10032,40.839362,-73.938727,Health Care,Mental Health,Outpatient Mental Health
Encore Community Services,239 West   49 Street,New York,10019,40.761508,-73.985593,Human Services,Senior Services,Neighborhood Senior Centers
Samaritan Community Counseling Center,2780 3 Avenue,Bronx,10455,40.814904,-73.919397,Health Care,Mental Health,Outpatient Mental Health
Atara Home Care,3525 Baychester Avenue,Bronx,10466,40.881921,-73.839585,Health Care,Other Health Care,Certified Home Health Agency
Missionary Church of Christ,937 Teller Avenue,Bronx,10451,40.826083,-73.915767,Human Services,Soup Kitchens and Food Pantries,Food Pantry
The Young Women's Leadership School,105 East  106 Street,New York,10029,40.792938,-73.947168,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Hope Of Israel Senior Citizens Center Inc,1068 Gerard Avenue,Bronx,10452,40.832146,-73.921962,Human Services,Senior Services,Neighborhood Senior Centers
The Educational Alliance Inc,197 East Broadway,New York,10002,40.713974,-73.988344,Human Services,Senior Services,Neighborhood Senior Centers
Montefiore Wakefield Hospital Inpatient Services,600 East  233 Street,Bronx,10466,40.893525,-73.86119,Health Care,Mental Health,Inpatient Mental Health
The Edward Fogel School,4011 Monticello Avenue,Bronx,10466,40.891384,-73.838787,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Consultation/Liaison Unit,100 East   77 Street,New York,10021,40.773957,-73.961109,Health Care,Mental Health,Support Mental Health
Bronx Self Help Program,975 Kelly Street,Bronx,10459,40.822006,-73.896306,Health Care,Mental Health,Support Mental Health
Bronx Collegiate Academy,240 East  172 Street,Bronx,10457,40.839581,-73.911303,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
St. Paul Pentecostal Kingdom Builders Food Pantry,133 Thomas S Boyland Street,Brooklyn,11233,40.680344,-73.913657,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Floating Hospital Clinic,25-15 Queens Plaza North,Long Island City,11101,40.750995,-73.939628,Health Care,Mental Health,Outpatient Mental Health
The Spanish Speaking Elderly Council-Raices Inc.,460 Atlantic Avenue,Brooklyn,11217,40.685972,-73.98308,Human Services,Senior Services,Neighborhood Senior Centers
Tsiny Pros,90-27 Sutphin Boulevard,Jamaica,11435,40.702437,-73.807826,Health Care,Mental Health,Outpatient Mental Health
Andries Hudde Junior High School,2500 Nostrand Avenue,Brooklyn,11210,40.623781,-73.946822,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Center for Adult PSychotherapy,71 West   23 Street,New York,10010,40.743033,-73.992093,Health Care,Mental Health,Outpatient Mental Health
I.S. 303 Leadership & Community Service,1700 Macombs Road,Bronx,10453,40.849464,-73.915519,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Church of the Incarnation,89-28 207 Street,Queens Village,11427,40.719135,-73.757117,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Margaret Sanger Center,26 Bleecker Street,New York,10012,40.7254,-73.993642,Health Care,Mental Health,Screening Mental Health
Our Lady of Light Food Pantry,118-22 Riverton Street,Saint Albans,11412,40.68985,-73.763296,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Kipp Washington Heights Middle School,21 Jumel Place,New York,10032,40.839358,-73.935707,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Power Praise and Deliverance Inc.,120 East  184 Street,Bronx,10468,40.859479,-73.900501,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Brooklyn Section National Council Of Jewish Women,1001 Quentin Road,Brooklyn,11223,40.608025,-73.962818,Human Services,Senior Services,Neighborhood Senior Centers
River Watch Inc.,1600 Sedgwick Avenue,Bronx,10453,40.848502,-73.92352,Human Services,Soup Kitchens and Food Pantries,Food Pantry
J.H.S. 104 Simon Baruch,330 East   21 Street,New York,10010,40.735725,-73.980633,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Selfhelp Community Services Inc,208-11 26 Avenue,Bayside,11360,40.776959,-73.783595,Human Services,Senior Services,Neighborhood Senior Centers
JGB Mental Health and Mental Retardation Services Inc. CDT,15 West   65 Street,New York,10023,40.77255,-73.980391,Health Care,Mental Health,Outpatient Mental Health
Mercy Center,332 East  149 Street,Bronx,10451,40.81651,-73.920399,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
AIDS Center of Queens County Inc.,161-21 Jamaica Avenue,Jamaica,11432,40.704556,-73.798062,Health Care,Mental Health,Outpatient Mental Health
Univ. Consultation & Tx Ctr for MH Inc. - HH Non - Medicaid,1020 Grand Concourse,Bronx,10456,40.830117,-73.9201,Health Care,Mental Health,Support Mental Health
Postgraduate Center for Mental Health - C&Y BCM,71 West   23 Street,New York,10010,40.743033,-73.992093,Health Care,Mental Health,Support Mental Health
Lower West Side Health Center,303 9 Avenue,New York,10001,40.749575,-73.999852,Health Care,Hospitals and Clinics,Ambulatory Health Facility
Collaborative Arts Middle School,145-00 Springfield Boulevard,Springfield Gardens,11413,40.664994,-73.759252,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Hrc-Path,198 East  121 Street,New York,10035,40.801044,-73.938158,Health Care,Mental Health,Support Mental Health
United Odd Fellow and Rebekah Home LTHHCP,1040 Havemeyer Avenue,Bronx,10462,40.830569,-73.846704,Health Care,Other Health Care,Long Term Home Health Care Program
Split Rock Long Term Home Health Care Program,3525 Baychester Avenue,Bronx,10466,40.881921,-73.839585,Health Care,Other Health Care,Long Term Home Health Care Program
Transitional Services for New York - HH NonMed CM,90-27 Sutphin Boulevard,Jamaica,11435,40.702437,-73.807826,Health Care,Mental Health,Support Mental Health
Bethel AME Church,215 Beach   77 Street,Arverne,11692,40.588814,-73.804625,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Marine Park Junior High School,1925 Stuart Street,Brooklyn,11229,40.606691,-73.938653,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Young Minds Compass Program,972 Fulton Street,Brooklyn,11238,40.682229,-73.962211,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Bronx Planned Parenthood Center,349 East  149 Street,Bronx,10451,40.816861,-73.91971,Health Care,Mental Health,Screening Mental Health
Every Day is a Miracle c/o The Almond Tree Church,411 East  143 Street,Bronx,10454,40.812223,-73.919883,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Saint Adalbert School,52-17 83 Street,Elmhurst,11373,40.732959,-73.883506,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Institute Center for Counseling of Harlem,1824 Madison Avenue,New York,10035,40.801855,-73.94381,Health Care,Mental Health,Outpatient Mental Health
P.S. 188 Michael E. Berdy,3314 Neptune Avenue,Brooklyn,11224,40.576826,-74.000504,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Heights Hill Clinic,25 Flatbush Avenue,Brooklyn,11217,40.688022,-73.979963,Health Care,Mental Health,Outpatient Mental Health
NYC-HHC Queens Hospital Center - HH NonMed CM,82-68 164 Street,Jamaica,11432,40.716931,-73.804262,Health Care,Mental Health,Support Mental Health
Middle Village Prep Charter School,68-02 Metropolitan Avenue,Middle Village,11379,40.710738,-73.888464,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Brooklyn Forensic ACT Team,151 Lawrence Street,Brooklyn,11201,40.691277,-73.985862,Health Care,Mental Health,Outpatient Mental Health
Education/Training and Resource Center: Peer Support,90-27 Sutphin Boulevard,Jamaica,11435,40.702437,-73.807826,Health Care,Mental Health,Support Mental Health
Machon Chana,1367 President Street,Brooklyn,11213,40.667988,-73.94381,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Mid-Bronx Food Pantry,1125 Grand Concourse,Bronx,10452,40.832806,-73.920294,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Outreach (MICA),246 East  121 Street,New York,10035,40.800241,-73.936051,Health Care,Mental Health,Support Mental Health
Elmcor Youth & Adult Activities Inc.,107-20 Northern Boulevard,Corona,11368,40.757571,-73.861235,Human Services,Soup Kitchens and Food Pantries,Food Pantry
CCNS-St. Marks,2609 East   19 Street,Brooklyn,11235,40.588164,-73.949936,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Ft. Washington Park Addition,698 West 135 Street,New York,10027,40.821232,-73.958873,Transportation,Other Transportation,Transportation Facility
Women's Housing and Economic Development Corp.,50 East  168 Street,Bronx,10452,40.836325,-73.919134,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Brook Ave Residence,455 East  148 Street,Bronx,10455,40.814604,-73.915642,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Templo El Divino Salvador,1485 Gates Avenue,Brooklyn,11237,40.698117,-73.913838,Human Services,Soup Kitchens and Food Pantries,Food Pantry
True Holy Church of God in Christ Jesus,2336 Atlantic Avenue,Brooklyn,11233,40.675872,-73.907781,Human Services,Soup Kitchens and Food Pantries,Food Pantry
St Gabriels Episcopal Church,331 Hawthorne Street,Brooklyn,11225,40.65822,-73.949118,Human Services,Senior Services,Neighborhood Senior Centers
Ms 126,424 Leonard Street,Brooklyn,11222,40.719672,-73.948025,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Skilled Nursing Facility Enhanced Support Program),79-25 Winchester Boulevard,Bellerose,11426,40.741389,-73.731511,Health Care,Mental Health,Support Mental Health
Seaview Hospital/Ems St. 22,460 Brielle Avenue,Staten Island,10314,40.595475,-74.132989,Transportation,Other Transportation,Transportation Facility
PS 20 P.O. George J. Werdan IIi,3050 Webster Avenue,Bronx,10467,40.869579,-73.878724,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Math & Science Exploratory School--Ms K447,345 Dean Street,Brooklyn,11217,40.68398,-73.980287,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
PS 117,85-15 143 Street,Jamaica,11435,40.710305,-73.813031,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Senior Citizens League Of Flatbush Inc,870 Ocean Parkway,Brooklyn,11230,40.627191,-73.971637,Human Services,Senior Services,Neighborhood Senior Centers
Jackson Heights SDA,72-25 Woodside Avenue,Woodside,11377,40.743253,-73.891842,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Our Lady of Grace Parish,2322 East    4 Street,Brooklyn,11223,40.593444,-73.967337,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Frederick Douglass Academy Viii Middle School (K452),1400 Pennsylvania Avenue,Brooklyn,11239,40.646753,-73.881845,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
